id,screen,control,role,preconditions_and_validation,action_and_target,success,failure,acceptance_test_id,acceptance,implementation_status,implementation_refs,test_status,test_refs
GLOBAL-12,GLOBAL,Cancel / Close / X / Esc,当前页访问者,提交中不撤销已发送业务；未保存时提示,关闭抽屉或确认框；返回触发点,取消不产生API写入；焦点回触发控件,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-12,取消不产生API写入；焦点回触发控件,not_implemented,[],not_run,[]
GLOBAL-13,GLOBAL,Keep editing,表单操作者,脏表单离开提示,关闭提示保留表单全部未保存输入,输入仍在，当前路由不变,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-13,输入仍在，当前路由不变,not_implemented,[],not_run,[]
GLOBAL-14,GLOBAL,Discard changes,表单操作者,脏表单离开提示,丢弃尚未保存部分并继续离开；不删除服务器草稿,已保存草稿仍能重新打开,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-14,已保存草稿仍能重新打开,not_implemented,[],not_run,[]
GLOBAL-15,GLOBAL,表内搜索框 / 搜索图标,列表访问者,q长度≤160；查询范围鉴权,按当前资源GET查询，防抖300ms并重置分页,输入后真实结果改变；清空回默认结果,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-15,输入后真实结果改变；清空回默认结果,not_implemented,[],not_run,[]
GLOBAL-16,GLOBAL,状态标签 / Status下拉 / Type下拉,列表访问者,值来自资源白名单,更新URL筛选及当前资源GET查询,列表、总数、选中标签一致,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-16,列表、总数、选中标签一致,not_implemented,[],not_run,[]
GLOBAL-17,GLOBAL,Date range / 日期选择器,列表访问者,from≤to；按Auckland业务日,打开日期范围选择并提交查询；清空撤销范围,边界日记录正确，不以UTC午夜误删,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-17,边界日记录正确，不以UTC午夜误删,not_implemented,[],not_run,[]
GLOBAL-18,GLOBAL,排序表头 / 上下箭头,列表访问者,只能选择后端允许排序字段,切换升降序并重置分页,跨页全局排序正确而非只排当前数组,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-18,跨页全局排序正确而非只排当前数组,not_implemented,[],not_run,[]
GLOBAL-19,GLOBAL,Previous / Next / 页码 / Page size,列表访问者,页大小20或50；不存在页禁用,按真实游标／页索引加载，保留筛选,无重复或漏页；末页Next禁用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-19,无重复或漏页；末页Next禁用,not_implemented,[],not_run,[]
GLOBAL-20,GLOBAL,Clear filters,列表访问者,无结果或有活动过滤器,清空查询和过滤器，回第一页,输入和URL同步清空，重新查询,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-20,输入和URL同步清空，重新查询,not_implemented,[],not_run,[]
GLOBAL-21,GLOBAL,表格行 / 右箭头 / View details,列表访问者,对象级权限,进入该行详情或抽屉，路由带真实ID,每一行打开自己的记录，不固定跳示例ID,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-21,每一行打开自己的记录，不固定跳示例ID,not_implemented,[],not_run,[]
GLOBAL-22,GLOBAL,Tabs / 标签页,当前页访问者,标签本身可访问,更新tab查询，加载对应内容,刷新保留标签；键盘左右和Enter可操作,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-22,刷新保留标签；键盘左右和Enter可操作,not_implemented,[],not_run,[]
GLOBAL-23,GLOBAL,Show password / Hide password / 眼睛图标,密码表单使用者,无,仅切换该字段可见性，不改值、不提交,各字段独立；aria-label随状态更新,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-23,各字段独立；aria-label随状态更新,not_implemented,[],not_run,[]
GLOBAL-24,GLOBAL,Select / 下拉箭头 / 清除选项,表单操作者,选项由后端或契约白名单提供,展开、选择、清除；必填项清除后报字段错误,鼠标键盘行为一致；不能注入不存在角色或ID,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-24,鼠标键盘行为一致；不能注入不存在角色或ID,not_implemented,[],not_run,[]
GLOBAL-25,GLOBAL,Upload photos / 选择文件 / 重试上传,资产编辑者,JPEG/PNG≤10MB每张，每件≤10张；资产可编辑,POST /assets/:id/attachments；显示进度、失败、已上传；私有文件存储,伪扩展名与越权上传被拒绝，刷新可见已保存附件,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-25,伪扩展名与越权上传被拒绝，刷新可见已保存附件,not_implemented,[],not_run,[]
GLOBAL-26,GLOBAL,照片缩略图 / 放大 / 上一张 / 下一张,记录访问者,有该文件读取权限,GET /private-files/:id；打开图片查看器,跨客户文件ID不可访问；图集首尾按钮正确禁用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-26,跨客户文件ID不可访问；图集首尾按钮正确禁用,not_implemented,[],not_run,[]
GLOBAL-27,GLOBAL,Remove photo / 缩略图X,资产编辑者,草稿附件可解绑，已批准历史不可删,确认后DELETE /assets/:id/attachments/:fileId,取消无变化；已用于批准的照片历史仍可查看,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-27,取消无变化；已用于批准的照片历史仍可查看,not_implemented,[],not_run,[]
GLOBAL-28,GLOBAL,Retry / 重新加载,页面访问者,只重试读取或明确未提交的操作,重新执行失败GET；写入未知结果一律转G01,不产生第二笔交易；保留筛选与非敏感输入,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-28,不产生第二笔交易；保留筛选与非敏感输入,not_implemented,[],not_run,[]
GLOBAL-29,GLOBAL,Print receipt / Print schedule,记录访问者,已记账回执／已批准计划且可访问,载入专用打印布局，再调用受控打印预览,打印无导航和内部备注，取消打印不改变数据,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-29,打印无导航和内部备注，取消打印不改变数据,not_implemented,[],not_run,[]
GLOBAL-30,GLOBAL,Export CSV / Download export,授权员工,当前资源查询权限,GET /transactions/export（其他资源按契约）；服务端导出当前筛选,导出和筛选一致，公式前缀转义、无隐藏敏感字段,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-30,导出和筛选一致，公式前缀转义、无隐藏敏感字段,not_implemented,[],not_run,[]
GLOBAL-31,GLOBAL,Return to login / Session expired,需要登录的访问者,会话无效,到C02，returnTo只接受本站允许路由,重新登录不能被returnTo导向恶意外站,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-31,重新登录不能被returnTo导向恶意外站,not_implemented,[],not_run,[]
GLOBAL-32,GLOBAL,Return to list / Record not found / Access denied,当前访问者,404/403,清除不可访问详情，回有权限的列表或首页,页面不残留前一客户敏感信息,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-32,页面不残留前一客户敏感信息,not_implemented,[],not_run,[]
GLOBAL-33,GLOBAL,确认框 Back to edit,写操作操作者,尚未提交,关闭复核框保留字段和草稿；若已提交进入结果核查,不会误发写请求，不丢表单,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-GLOBAL-33,不会误发写请求，不丢表单,not_implemented,[],not_run,[]
C01-01,C01,How it works,公开,无,滚动至首页流程锚点并聚焦标题,顶部与正文两个入口均有效,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C01-01,顶部与正文两个入口均有效,not_implemented,[],not_run,[]
C01-02,C01,My loan / View my loan / Log in,公开或Customer,未登录先认证,未登录到C02；登录客户到C03/C09,返回目标安全保存，员工不进入他人客户账户,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C01-02,返回目标安全保存，员工不进入他人客户账户,not_implemented,[],not_run,[]
C01-03,C01,Contact / Contact us / Contact our team,全部,无,到C07联系区,所有重复CTA指向同一真实帮助页,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C01-03,所有重复CTA指向同一真实帮助页,not_implemented,[],not_run,[]
C02-01,C02,Log in,公开,邮箱合法、密码非空；服务端限流,POST /auth/login；客户无验证到A04、单笔C03、多笔C09、无关联C10；员工S01,错误凭证不泄露账户状态；成功后刷新仍登录,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C02-01,错误凭证不泄露账户状态；成功后刷新仍登录,not_implemented,[],not_run,[]
C02-02,C02,Forgot password?,公开,无,到A01并可带用户主动输入的邮箱至表单内存,不将密码带入URL或日志,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C02-02,不将密码带入URL或日志,not_implemented,[],not_run,[]
C02-03,C02,Create an account,公开,无,到A03，注册身份固定Customer,客户端传Manager也不能创建员工,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C02-03,客户端传Manager也不能创建员工,not_implemented,[],not_run,[]
C02-04,C02,Staff sign-in / Back to home,公开,无,员工入口 /staff/login；返回 /,员工登录页不出现员工自助注册,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C02-04,员工登录页不出现员工自助注册,not_implemented,[],not_run,[]
C03-01,C03,View repayment plan,Customer,当前loanId归本人且已放款,进入C05 schedule,显示当前贷款计划且金额来自API,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C03-01,显示当前贷款计划且金额来自API,not_implemented,[],not_run,[]
C03-02,C03,Recent repayments View all / 行点击,Customer,本人贷款,View all到C05 history；行点击打开客户回执,回执ID对应点击行；其他用户ID被拒绝,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C03-02,回执ID对应点击行；其他用户ID被拒绝,not_implemented,[],not_run,[]
C03-03,C03,Your security View details,Customer,本人资产,进入C06对应资产／资产列表,不显示仓库具体位置和内部备注,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C03-03,不显示仓库具体位置和内部备注,not_implemented,[],not_run,[]
C03-04,C03,Loan selector / All loans,Customer,本人多笔贷款,打开C09或选择本人loanId，清空上一笔详情缓存,切换后余额、计划、资产全部一致，不混用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C03-04,切换后余额、计划、资产全部一致，不混用,not_implemented,[],not_run,[]
C04-01,C04,Application selector / View application,Customer,只能本人已提交申请,GET /me/applications并进入选中进度,无申请显示空状态，草稿内部备注不可见,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C04-01,无申请显示空状态，草稿内部备注不可见,not_implemented,[],not_run,[]
C04-02,C04,Contact our team,Customer,无,到C07,已拒绝、待审批、已放款状态均可联系,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C04-02,已拒绝、待审批、已放款状态均可联系,not_implemented,[],not_run,[]
C05-01,C05,Upcoming schedule / Payment history,Customer,当前本人loanId,切换schedule/history并加载真实接口,还款后刷新历史和余额同步,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C05-01,还款后刷新历史和余额同步,not_implemented,[],not_run,[]
C05-02,C05,View receipt / Most recent receipt,Customer,本人已记账交易,GET /me/receipts/:id打开客户版S13,无记录禁用并说明；不显示其他贷款回执,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C05-02,无记录禁用并说明；不显示其他贷款回执,not_implemented,[],not_run,[]
C05-03,C05,Contact our team,Customer,无,到C07,提供真实联系内容，未配置状态明确,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C05-03,提供真实联系内容，未配置状态明确,not_implemented,[],not_run,[]
C06-01,C06,资产选择 / 图片 / Custody timeline,Customer,本人关联资产,资产选择更新详情；图片继承GLOBAL预览；时间线只读,已归还与已出售文本区分且无库位泄露,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C06-01,已归还与已出售文本区分且无库位泄露,not_implemented,[],not_run,[]
C06-02,C06,Contact our team,Customer,无,到C07,归还等待状态也可进入联系说明,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C06-02,归还等待状态也可进入联系说明,not_implemented,[],not_run,[]
C07-01,C07,FAQ问题 / 展开箭头,全部,无,切换对应答案，aria-expanded及面板关联,四个FAQ均能展开收起且键盘可用,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C07-01,四个FAQ均能展开收起且键盘可用,not_implemented,[],not_run,[]
C07-02,C07,View my application,Customer或公开,公开需先登录；本人申请,到C04，无申请显示C04空状态,不生成新申请、不跳任意示例记录,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C07-02,不生成新申请、不跳任意示例记录,not_implemented,[],not_run,[]
C07-03,C07,电话 / Email / 地址,全部,GET /public/contact有已核实配置,tel、mailto、经允许的地图URL；未配置显示说明文本而非假链接,不会拨打或邮件至示例联系人,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C07-03,不会拨打或邮件至示例联系人,not_implemented,[],not_run,[]
C07-04,C07,Back to my overview,Customer或公开,按会话区分,客户回C03/C09/C10；公开回C01,公开访问不陷入必须登录的返回死循环,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C07-04,公开访问不陷入必须登录的返回死循环,not_implemented,[],not_run,[]
C08-01,C08,手机菜单 / Overview / Progress / Repayments / Help,Customer,与桌面相同权限,菜单打开关闭；底部导航到同业务路由；security与account在菜单可达,390px下每个入口可点击，无底栏遮挡,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C08-01,390px下每个入口可点击，无底栏遮挡,not_implemented,[],not_run,[]
C08-02,C08,View repayment plan / Latest repayment,Customer,本人贷款,复用C03/C05功能而非第二套模拟数据,手机与桌面同一ID和金额,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C08-02,手机与桌面同一ID和金额,not_implemented,[],not_run,[]
C09-01,C09,Active loans / Loan history,Customer,本人已关联borrower,GET /me/loans?status=active或history,两笔合计来自同一筛选；历史不混入活动总额,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C09-01,两笔合计来自同一筛选；历史不混入活动总额,not_implemented,[],not_run,[]
C09-02,C09,View loan,Customer,行内loanId本人所有,到C03该贷款详情,两行各自打开，不固定第一笔,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C09-02,两行各自打开，不固定第一笔,not_implemented,[],not_run,[]
C09-03,C09,View application progress,Customer,无,到C04选择申请,无申请仍有清楚空状态和联系入口,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C09-03,无申请仍有清楚空状态和联系入口,not_implemented,[],not_run,[]
C10-01,C10,Contact our team,已验证Customer,无关联／无贷款,到C07说明人工关联和共同申请,不把无关联显示成贷款余额0,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C10-01,不把无关联显示成贷款余额0,not_implemented,[],not_run,[]
C10-02,C10,View application progress,Customer,本人关联范围,到C04或其空状态,没有数据时不展示虚构进度,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-C10-02,没有数据时不展示虚构进度,not_implemented,[],not_run,[]
S01-01,S01,Review applications / Awaiting approval / View all applications,Manager；其他员工只读待办,对应列表权限,到S03待审核筛选；经理行到S06,卡片计数与列表总数同源,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S01-01,卡片计数与列表总数同源,not_implemented,[],not_run,[]
S01-02,S01,申请行右箭头,相关员工,实际任务分配及角色权限,待估值到S05，经理待审到S06，草稿贷款专员到S04,不会让估值未完成的申请看似可批准,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S01-02,不会让估值未完成的申请看似可批准,not_implemented,[],not_run,[]
S01-03,S01,Recent transactions View all / 行,财务读取角色,交易读取范围,到S13或对应交易回执,默认日期范围明确且非固定样例,遵循 IMPLEMENTATION_SPEC §4/§6：字段422就地提示、409保留输入并刷新比对、401重新登录、403/404不泄露记录、429按服务器等待、读取失败可重试；资金写入结果不明进入G01。,CTL-S01-03,默认日期范围明确且非固定样例,not_implemented,[],not_run,[]
